Results for McCormick
     1 HOU0012_State_House_of_Representatives W/I_WAYNE_KIRKLAND                 
     1 HOU0012_State_House_of_Representatives W/I_WILLIAM_J._SMART,_JR.          
     1 HOU0012_State_House_of_Representatives W/I_WILLIAM_TYPHAIR_JR             

  2863 Probate_Judge                       Kathryne_Kitty_Butler              
     1 Probate_Judge                       W/I_-                              
     1 Probate_Judge                       W/I_ANYONE                         
     1 Probate_Judge                       W/I_CHRIS_MOORE                    
     1 Probate_Judge                       W/I_GERALD_E._LOWTHER              
     1 Probate_Judge                       W/I_GREG_PARROTT                   
     1 Probate_Judge                       W/I_JAMES_D_FREEMAN                
     1 Probate_Judge                       W/I_JEFF_JOHNSON                   
     1 Probate_Judge                       W/I_JIM_FOSTER                     
     1 Probate_Judge                       W/I_MAGA                           
     1 Probate_Judge                       W/I_MICKEY_MOUSE                   
     1 Probate_Judge                       W/I_NICK_POSTON                    
     1 Probate_Judge                       W/I_NONE                           
     1 Probate_Judge                       W/I_PEDRO                          
     2 Probate_Judge                       W/I_REPUBLICAN                     
     1 Probate_Judge                       W/I_RONNIE_KIDD                    
     1 Probate_Judge                       W/I_SNOOPY                         
     1 Probate_Judge                       W/I_TAG_BUSSEY                     
     1 Probate_Judge                       W/I_TIFFANY_PAYME                  
     1 Probate_Judge                       W/I_TRACY_PENNER                   

    15 STRAIGHT_PARTY                      American                           
  1540 STRAIGHT_PARTY                      Democratic                         
     9 STRAIGHT_PARTY                      Green                              
  1441 STRAIGHT_PARTY                      Republican                         
    13 STRAIGHT_PARTY                      United_Citizens                    
    12 STRAIGHT_PARTY                      Working_Families                   

  1232 School_Board_At_Large               Al_Bell                            
   563 School_Board_At_Large               Ansel_Fambrough                    
   967 School_Board_At_Large               Frank_Kenny_Puckett                
  1851 School_Board_At_Large               Janie_J_Martin                     
  1818 School_Board_At_Large               Melody_Wilt                        
  1047 School_Board_At_Large               R_C_Holloway                       
  1264 School_Board_At_Large               Verteema_S_Chiles                  
     1 School_Board_At_Large               W/I                                
     1 School_Board_At_Large               W/I_>ANGELA_PICKLE                 
     1 School_Board_At_Large               W/I_>TOYE_LANGLEY                  
     1 School_Board_At_Large               W/I_CHARLES_PAYBE                  
     1 School_Board_At_Large               W/I_DONALD_TRUMP                   
     1 School_Board_At_Large               W/I_FRANK_PICKLE                   
